song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments

2PwXOevGUSkU8qaYZjgLq2,4BxCuXFJrSWGi1KHcVqaU4,305746,71,0,0.209,0.412,-9.733,0.0443,0.172,0.15,0.0843,0.162,86.26,3,1,0,2,78,11,8703,0.0,297.31991,0.012,0.172,0.652,0.671,209,628,1256,14,1015

6dVa7xk5dOoT6pOkDw1TMH,4BxCuXFJrSWGi1KHcVqaU4,201980,72,0,0.493,0.636,-5.894,0.049,0.341,0,0.201,0.228,120.136,4,1,10,1,78,1,10066,2.13043,198.48998,0.394,0.99,0.36,0.134,99,400,800,12,663

5rZXBHUU2qz7huEckTwpqo,4BxCuXFJrSWGi1KHcVqaU4,230266,60,0,0.488,0.487,-6.371,0.0307,0.577,0,0.193,0.217,77.344,4,1,4,4,78,11,8703,0.09252,211.58603,0.268,0.909,0.564,0.533,72,293,586,9,725

0My8NPmENHrN5W7OfgZnZJ,4BxCuXFJrSWGi1KHcVqaU4,232520,67,0,0.43,0.587,-8.003,0.0348,0.654,8.83e-05,0.158,0.332,156.006,4,1,9,2,78,16,9191,0.0,225.14068,0.094,0.988,0.743,0.818,148,594,1188,11,804

5OFMSC86JMPG87C3jAdIgJ,4BxCuXFJrSWGi1KHcVqaU4,236933,62,0,0.522,0.86,-4.758,0.0376,0.000384,2.64e-06,0.188,0.451,100.51,4,0,5,2,78,4,10168,0.0,231.42748,0.848,1.0,0.383,0.497,96,388,776,8,860

1VfJeju8B6qP4ZFsYuVW9U,4BxCuXFJrSWGi1KHcVqaU4,241640,58,0,0.398,0.151,-14.402,0.0341,0.961,0.0425,0.0923,0.0745,107.072,4,1,4,5,78,5,8621,0.16848,229.63955,0.124,0.772,0.674,0.738,98,385,770,9,603

1YxdSkWS2waQlR5uXAkLWY,4BxCuXFJrSWGi1KHcVqaU4,222706,58,0,0.263,0.157,-11.898,0.0462,0.873,1.35e-06,0.128,0.132,66.724,4,1,8,1,78,4,10168,0.29592,207.33678,0.021,0.664,0.697,0.748,61,244,488,9,571

